"id_company","name_company","image_logo","description","website","industry","number_employees","id_regency","since"
"76","Dynamic PT Jaya Mulya Innovations","logo_pt_jaya_mulya.jpg","PT Jaya Mulya is a leading company in the Technology industry, providing high-quality products and services.","www.ptjayamulya.com","Construction","85","2","1996"
"78","Future PT Gemilang Bersama Ventures","logo_pt_gemilang_bersama.jpg","PT Gemilang Bersama is a leading company in the Finance industry, providing high-quality products and services.","www.ptgemilangbersama.com","Logistics","281","2","2012"
"79","Alpha PT Sinar Sukses Industries","logo_pt_sinar_sukses.jpg","PT Sinar Sukses is a leading company in the Education industry, providing high-quality products and services.","www.ptsinarsukses.com","Education","148","9","2006"
"82","Beta PT Prima Industri Holdings","logo_pt_prima_industri.jpg","PT Prima Industri is a leading company in the Healthcare industry, providing high-quality products and services.","www.ptprimaindustri.com","Food & Beverage","1596","4","1990"
"83","NextGen PT Jaya Mulya Group","logo_pt_jaya_mulya.jpg","PT Jaya Mulya is a leading company in the Education industry, providing high-quality products and services.","www.ptjayamulya.com","Technology","1785","6","1990"
"85","Pioneer PT Nusantara Teknologi Corporation","logo_pt_nusantara_teknologi.jpg","PT Nusantara Teknologi is a leading company in the Manufacturing industry, providing high-quality products and services.","www.ptnusantarateknologi.com","Healthcare","1851","9","2008"
"88","Prime PT Prima Industri Enterprises","logo_pt_prima_industri.jpg","PT Prima Industri is a leading company in the Food & Beverage industry, providing high-quality products and services.","www.ptprimaindustri.com","Construction","479","3","2004"
"91","Elite PT Cipta Karya Abadi Solutions","logo_pt_cipta_karya_abadi.jpg","PT Cipta Karya Abadi is a leading company in the Construction industry, providing high-quality products and services.","www.ptciptakaryaabadi.com","Finance","1093","9","2007"
"95","Vision PT Cipta Karya Abadi Limited","logo_pt_cipta_karya_abadi.jpg","PT Cipta Karya Abadi is a leading company in the Energy industry, providing high-quality products and services.","www.ptciptakaryaabadi.com","Technology","1194","4","2018"
"99","Summit PT Cipta Karya Abadi Global","logo_pt_cipta_karya_abadi.jpg","PT Cipta Karya Abadi is a leading company in the Finance industry, providing high-quality products and services.","www.ptciptakaryaabadi.com","Construction","1527","8","1998"
"100","Dynamic PT Jaya Mulya Innovations","logo_pt_jaya_mulya.jpg","PT Jaya Mulya is a leading company in the Food & Beverage industry, providing high-quality products and services.","www.ptjayamulya.com","Manufacturing","660","4","1997"
